PRICE,TIMESTAMP
0,2010-12-31
0.3,2011-01-01
0.3,2011-01-02
0.3,2011-01-03
0.3,2011-01-04
0.3,2011-01-05
0.3,2011-01-06
0.31,2011-01-07
0.32,2011-01-08
0.32,2011-01-09
0.33,2011-01-10
0.33,2011-01-11
0.33,2011-01-12
0.36,2011-01-13
0.38,2011-01-14
0.39,2011-01-15
0.4,2011-01-16
0.38,2011-01-17
0.34,2011-01-18
0.31,2011-01-19
0.35,2011-01-20
0.4,2011-01-21
0.42,2011-01-22
0.43,2011-01-23
0.41,2011-01-24
0.42,2011-01-25
0.41,2011-01-26
0.41,2011-01-27
0.44,2011-01-28
0.44,2011-01-29
0.47,2011-01-30
0.5,2011-01-31
0.66,2011-02-01
0.73,2011-02-02
0.7,2011-02-03
0.77,2011-02-04
0.87,2011-02-05
0.9,2011-02-06
0.88,2011-02-07
0.89,2011-02-08
0.93,2011-02-09
1.03,2011-02-10
0.98,2011-02-11
1.04,2011-02-12
1.04,2011-02-13
1.06,2011-02-14
1.05,2011-02-15
1.04,2011-02-16
1.05,2011-02-17
1.0,2011-02-18
0.93,2011-02-19
0.87,2011-02-20
0.85,2011-02-21
0.86,2011-02-22
0.91,2011-02-23
0.94,2011-02-24
0.96,2011-02-25
0.95,2011-02-26
0.94,2011-02-27
0.9,2011-02-28
0.92,2011-03-01
0.92,2011-03-02
0.93,2011-03-03
0.91,2011-03-04
0.91,2011-03-05
0.86,2011-03-06
0.88,2011-03-07
0.88,2011-03-08
0.86,2011-03-09
0.87,2011-03-10
0.9,2011-03-11
0.9,2011-03-12
0.9,2011-03-13
0.89,2011-03-14
0.88,2011-03-15
0.87,2011-03-16
0.84,2011-03-17
0.81,2011-03-18
0.77,2011-03-19
0.76,2011-03-20
0.75,2011-03-21
0.78,2011-03-22
0.83,2011-03-23
0.86,2011-03-24
0.88,2011-03-25
0.87,2011-03-26
0.85,2011-03-27
0.8,2011-03-28
0.79,2011-03-29
0.79,2011-03-30
0.79,2011-03-31
0.78,2011-04-01
0.79,2011-04-02
0.78,2011-04-03
0.7,2011-04-04
0.66,2011-04-05
0.72,2011-04-06
0.75,2011-04-07
0.76,2011-04-08
0.75,2011-04-09
0.74,2011-04-10
0.76,2011-04-11
0.84,2011-04-12
0.92,2011-04-13
0.94,2011-04-14
1.02,2011-04-15
1.03,2011-04-16
1.05,2011-04-17
1.15,2011-04-18
1.18,2011-04-19
1.16,2011-04-20
1.17,2011-04-21
1.28,2011-04-22
1.48,2011-04-23
1.67,2011-04-24
1.59,2011-04-25
1.64,2011-04-26
1.85,2011-04-27
2.02,2011-04-28
2.5,2011-04-29
3.15,2011-04-30
3.32,2011-05-01
3.17,2011-05-02
3.28,2011-05-03
3.38,2011-05-04
3.41,2011-05-05
3.47,2011-05-06
3.56,2011-05-07
3.75,2011-05-08
3.81,2011-05-09
4.68,2011-05-10
5.57,2011-05-11
5.64,2011-05-12
7.47,2011-05-13
8.21,2011-05-14
6.67,2011-05-15
7.64,2011-05-16
7.6,2011-05-17
7.13,2011-05-18
6.95,2011-05-19
6.54,2011-05-20
5.87,2011-05-21
6.36,2011-05-22
7.06,2011-05-23
7.08,2011-05-24
7.44,2011-05-25
8.48,2011-05-26
8.68,2011-05-27
8.44,2011-05-28
8.28,2011-05-29
8.57,2011-05-30
8.86,2011-05-31
9.06,2011-06-01
10.03,2011-06-02
12.77,2011-06-03
16.35,2011-06-04
17.4,2011-06-05
18.28,2011-06-06
19.19,2011-06-07
27.53,2011-06-08
29.64,2011-06-09
26.29,2011-06-10
19.82,2011-06-11
16.41,2011-06-12
20.87,2011-06-13
19.23,2011-06-14
19.68,2011-06-15
19.17,2011-06-16
15.77,2011-06-17
15.87,2011-06-18
17.59,2011-06-19
0.0,2011-06-20
0.0,2011-06-21
0.0,2011-06-22
0.0,2011-06-23
